Timestamp,Accel_X,Accel_Y,Gyro_Z,Mag_X,Mag_Y,GPS_x,GPS_Y,Calc_Accel_X,Calc_Accel_Y,Calc_Gyro_Z,Calc_Mag_X_Y
5457,10859,11013,-3822,-4028,377,160722.00,0.00,3.250939636230469,3.297043762207031,-29.1595458984375,-1.4774733598429126
5490,10559,11677,-5027,-4019,224,160722.00,0.00,3.161126403808594,3.4958303833007816,-38.35296630859375,-1.5151186742920493
5523,10668,10960,-5375,-4019,224,160722.00,0.00,3.193758544921875,3.2811767578125,-41.00799560546875,-1.5151186742920493
5556,11258,12560,-5618,-4019,224,160722.00,0.00,3.370391235351563,3.7601806640625,-42.8619384765625,-1.5151186742920493
5589,10350,13124,-5293,-4023,-21,160722.00,0.00,3.0985565185546875,3.929029541015625,-40.38238525390625,-1.576016264469619
5622,9827,13403,-4756,-4023,-21,160722.00,0.00,2.941982116699219,4.0125558471679685,-36.285400390625,-1.576016264469619
5655,10522,13868,-4798,-4023,-21,160722.00,0.00,3.1500494384765627,4.1517663574218755,-36.6058349609375,-1.576016264469619
5688,10133,13588,-3835,-3930,-193,160722.00,0.00,3.0335916137695316,4.067940673828125,-29.25872802734375,-1.6198663189583518
5721,10071,14265,-4148,-3930,-193,160722.00,0.00,3.015030212402344,4.270619201660156,-31.646728515625,-1.6198663189583518
5754,9871,13953,-2929,-3930,-193,160722.00,0.00,2.955154724121094,4.177213439941406,-22.34649658203125,-1.6198663189583518
5787,7761,12469,-3454,-3905,-326,160722.00,0.00,2.3234683227539064,3.7329373168945312,-26.3519287109375,-1.654085907768843
5820,9402,13828,-4758,-3905,-326,160722.00,0.00,2.814746704101563,4.139791259765625,-36.3006591796875,-1.654085907768843
5853,9738,14182,-3490,-3905,-326,160722.00,0.00,2.9153375244140625,4.245770874023438,-26.6265869140625,-1.654085907768843
5887,7819,13981,-4647,-3763,-461,160722.00,0.00,2.3408322143554687,4.185596008300782,-35.45379638671875,-1.6926975392551613
5922,9107,14507,-4956,-3763,-461,24.00,0.00,2.7264303588867187,4.343068542480469,-37.811279296875,-1.6926975392551613
5957,8585,15613,-3645,-3763,-461,24.00,0.00,2.5701553344726564,4.674179992675781,-27.80914306640625,-1.6926975392551613
5992,8097,15179,-3478,-3712,-619,24.00,0.00,2.4240591430664065,4.544250183105469,-26.5350341796875,-1.736032374791626
6027,7945,15877,-2743,-3712,-619,24.00,0.00,2.378553771972656,4.753215637207031,-20.92742919921875,-1.736032374791626
6062,9659,15482,-936,-3712,-619,24.00,0.00,2.891686706542969,4.634961547851563,-7.14111328125,-1.736032374791626
6097,4825,12820,571,-3703,-699,24.00,0.00,1.4444961547851562,3.8380187988281254,4.35638427734375,-1.7573668697098457
6132,5833,14537,-1987,-3703,-699,24.00,0.00,1.7462686157226563,4.352049865722656,-15.15960693359375,-1.7573668697098457
6167,9770,14058,1112,-3703,-699,24.00,0.00,2.924917602539063,4.208648071289063,8.48388671875,-1.7573668697098457
6201,4224,12052,3251,-3701,-604,24.00,0.00,1.2645703125,3.6080969238281253,24.80316162109375,-1.7325693046251662
6235,3773,12699,324,-3701,-604,24.00,0.00,1.1295510864257814,3.801794128417969,2.471923828125,-1.7325693046251662
6268,6251,12725,-2063,-3701,-604,24.00,0.00,1.871408386230469,3.8095779418945312,-15.73944091796875,-1.7325693046251662
6301,7258,12909,1207,-3642,-457,24.00,0.00,2.172881469726563,3.8646633911132815,9.20867919921875,-1.6956244061575116
6334,5709,11995,5054,-3642,-457,24.00,0.00,1.7091458129882813,3.591032409667969,38.5589599609375,-1.6956244061575116
6367,4441,10613,7749,-3642,-457,24.00,0.00,1.3295352172851562,3.177292785644531,59.12017822265625,-1.6956244061575116
6400,4342,9838,7651,-3717,-105,24.00,0.00,1.2998968505859376,2.9452752685546875,58.37249755859375,-1.5990374039996844
6433,5649,9855,6249,-3717,-105,24.00,0.00,1.6911831665039063,2.950364685058594,47.67608642578125,-1.5990374039996844
6466,10262,10318,10234,-3717,-105,24.00,0.00,3.0722113037109375,3.0889764404296876,78.0792236328125,-1.5990374039996844
6499,9778,9544,16055,-3983,299,24.00,0.00,2.9273126220703127,2.85725830078125,122.48992919921875,-1.4958678222001367
6532,6385,9017,15925,-3983,299,24.00,0.00,1.9115249633789064,2.6994863891601564,121.49810791015625,-1.4958678222001367
6565,8714,7438,12486,-3983,299,24.00,0.00,2.608775024414063,2.2267694091796875,95.2606201171875,-1.4958678222001367
6598,11458,6041,10904,-4221,946,24.00,0.00,3.430266723632813,1.8085391235351564,83.19091796875,-1.3503220119037433
6631,12596,7890,11809,-4221,946,24.00,0.00,3.7709582519531253,2.3620880126953128,90.09552001953125,-1.3503220119037433
6664,12962,5626,11435,-4221,946,24.00,0.00,3.8805303955078125,1.6842974853515627,87.24212646484375,-1.3503220119037433
6697,14758,5388,10553,-4342,1477,24.00,0.00,4.418212280273438,1.6130456542968752,80.51300048828125,-1.2429091880488283
6730,15994,5092,12248,-4342,1477,24.00,0.00,4.788242797851563,1.5244299316406251,93.44482421875,-1.2429091880488283
6763,16248,4000,12117,-4342,1477,24.00,0.00,4.86428466796875,1.197509765625,92.44537353515625,-1.2429091880488283
6796,14888,2576,13493,-4342,1993,24.00,0.00,4.45713134765625,0.7711962890625,102.94342041015625,-1.140479069201143
6829,16364,1801,12386,-4231,1993,24.00,0.00,4.899012451171875,0.5391787719726563,94.4976806640625,-1.1305781934738905
6862,14523,151,13850,-4231,1993,24.00,0.00,4.347858581542969,0.045205993652343755,105.6671142578125,-1.1305781934738905
6895,15176,-1220,10610,-4231,1993,24.00,0.00,4.54335205078125,-0.365240478515625,80.9478759765625,-1.1305781934738905
6931,16811,-1297,4894,-3905,2494,24.00,0.00,5.032834167480469,-0.3882925415039063,37.3382568359375,-1.0024283905952474
6966,13933,-1831,4802,-3905,2494,24.00,0.00,4.171225891113282,-0.5481600952148438,36.6363525390625,-1.0024283905952474
7001,14569,-3123,-347,-3369,2667,24.00,0.00,4.361629943847657,-0.9349557495117188,-2.64739990234375,-0.9011801897764217
7036,17738,409,-2843,-3369,2667,24.00,0.00,5.3103570556640625,0.12244537353515626,-21.69036865234375,-0.9011801897764217
7071,11808,-1606,-3404,-3369,2667,24.00,0.00,3.5350488281250003,-0.4808001708984375,-25.970458984375,-0.9011801897764217
7106,12677,-1267,-6414,-2747,2637,24.00,0.00,3.7952078247070316,-0.37931121826171876,-48.9349365234375,-0.8058262277290194
7141,11824,48,-8963,-2747,2637,24.00,0.00,3.5398388671875,0.0143701171875,-68.38226318359375,-0.8058262277290194
